NOMEATIVIDADE,Aprov_P,cont,cont
ALGORITMOS E ESTRUTURAS DE DADOS I,68,2590,2590
ALGORITMOS E ESTRUTURAS DE DADOS II,57,2237,2237
ALGORITMOS E ESTRUTURAS DE DADOS III,56,743,743
ALGORITMOS I,79,96,96
ALGORITMOS II,85,16,16
ALGORITMOS PARA BIOINFORMATICA I,81,41,41
ALGORITMOS PARA BIOINFORMATICA II,85,11,11
ANALISE NUMERICA,69,1954,1954
ARMAZENS DE DADOS,97,53,53
ATIVIDADES PRATICAS INTEGRADORAS,72,109,109
CALCULO NUMERICO,71,3005,3005
COMPILADORES,61,17,17
COMPILADORES I,84,356,356
COMPUTACAO GRAFICA,55,81,81
COMPUTACAO NATURAL,65,81,81
COMPUTADORES E SOCIEDADE,98,614,614
DESENVOLVIMENTO DE JOGOS DIGITAIS,80,100,100
EMPREENDIMENTOS EM INFORMATICA,90,304,304
ENGENHARIA DE SOFTWARE,90,754,754
ENGENHARIA DE SOFTWARE II,92,186,186
ENGENHARIA DE USABILIDADE,92,110,110
ESTRUTURAS DE DADOS,80,128,128
FUNDAMENTOS DA TEORIA DA COMPUTACAO,75,687,687
FUNDAMENTOS DE SISTEMAS DE INFORMACAO,88,462,462
HEURÍSTICAS E METAHEURÍSTICAS,94,14,14
INTELIGENCIA ARTIFICIAL,75,137,137
INTERACAO HUMANO-COMPUTADOR,93,284,284
INTRODUCAO A ARQUITETURA DE COMPUTADORES,77,33,33
INTRODUCAO A BANCO DE DADOS,80,1272,1272
INTRODUCAO A CIENCIA DA COMPUTACAO,85,481,481
INTRODUCAO A INFORMATICA,81,618,618
INTRODUCAO A MATEMATICA COMPUTACIONAL,91,118,118
INTRODUCAO A ROBOTICA,90,156,156
INTRODUCAO AOS SISTEMAS LOGICOS,80,683,683
INTRODUCAO AS TECNOLOGIAS DA INFORMACAO II,25,21,21
INTRODUCAO AS TECNOLOGIAS DE COMUNICACAO E INFORMACAO I,48,83,83
INTRODUCAO AS TECNOLOGIAS DE COMUNICACAO E INFORMACAO II,30,31,31
INTRODUCAO AS TECNOLOGIAS DE INFORMACAO I,32,24,24
INTRODUCAO AS TECNOLOGICAS DE COMUNICACAO E INFORMACAO II,57,39,39
INTRODUÇÃO À CIÊNCIA DOS DADOS,85,95,95
INTRODUÇÃO À LÓGICA COMPUTACIONAL,76,329,329
INTRODUÇÃO À PROGRAMAÇÃO DE COMPUTADORES,67,76,76
LINGUAGENS DE PROGRAMACAO,78,666,666
MATEMATICA DISCRETA,55,762,762
MATEMÁTICA DISCRETA,88,50,50
MINERACAO DE DADOS,63,64,64
MODELAGEM DE PROCESSOS DE NEGOCIO,87,79,79
MONOGRAFIA EM SISTEMAS DE INFORMACAO,86,257,257
MONOGRAFIA EM SISTEMAS DE INFORMAÇÃO II,94,131,131
MÉTODOS QUANTITATIVOS DE PESQUISA EXPERIMENTAL EM CIÊNCIA DA COMPUTAÇÃO,34,3,3
ORGANIZACAO DE COMPUTADORES I,79,616,616
ORGANIZACAO DE COMPUTADORES II,75,286,286
PESQUISA OPERACIONAL,60,399,399
PROCESSAMENTO DIGITAL DE SOM E VIDEO,97,88,88
PROCESSAMENTOS DIGITAL DE IMAGENS,85,216,216
PROGRAMACAO DE COMPUTADORES,65,3631,3631
PROGRAMACAO DE COMPUTADORES I,36,27,27
PROGRAMACAO DE COMPUTADORES II,22,21,21
PROGRAMACAO MODULAR,87,579,579
PROGRAMACAO ORIENTADA A OBJETOS,83,91,91
PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE I,73,538,538
PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE II,73,694,694
PROJETO ORIENTADO EM COMPUTACAO I,94,317,317
PROJETO ORIENTADO EM COMPUTACAO II,91,325,325
PROJETOS E CONCEITOS DE SISTEMAS PARALELOS E DISTRIBUÍDOS,75,20,20
"REDES COMPLEXAS EM COMPUTACAO: MODELAGEM, ALGORITMOS E APLICACOES",80,4,4
REDES DE COMPUTADORES,69,1182,1182
ROBOTICA MOVEL,58,28,28
SISTEMA DE TEMPO REAL,81,57,57
SISTEMAS OPERACIONAIS,74,609,609
SOFTWARE BASICO,69,333,333
TECNOLOGIAS DA INFORMACAO E DA COMUNICACAO,24,4,4
TEORIA DOS GRAFOS,75,56,56
TEORIA E PRATICA DE SISTEMAS DE INFORMACAO,89,72,72
TOPICOS EM CIENCIA DA COMPUTACAO,83,1796,1796
TOPICOS EM SISTEMAS DE INFORMACAO,77,1597,1597
TOPICOS ESPECIAIS EM INFORMATICA II,29,2,2
TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO III,80,4,4
VISAO COMPUTACIONAL,80,28,28
ÁLGEBRA LINEAR COMPUTACIONAL,59,180,180
